etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.800921	0.0100233	 0.010119
-2.1	-1.6	10	13	0.778698	0.00828051	 0.008213
-1.6	-1.2	10	13	0.75383	0.00946716	 0.00965877
-1.2	-0.8	10	13	0.698286	0.0100363	 0.0100135
-0.8	-0.3	10	13	0.676271	0.0119661	 0.0119427
-0.3	-0.2	10	13	0.635019	0.0341007	 0.0329843
-0.2	0.2	10	13	0.635434	0.0185753	 0.0189809
0.2	0.3	10	13	0.672046	0.0334471	 0.0343856
0.3	0.8	10	13	0.668058	0.0119873	 0.0120067
0.8	1.2	10	13	0.706051	0.0109587	 0.0108947
1.2	1.6	10	13	0.732933	0.0086893	 0.00874095
1.6	2.1	10	13	0.793634	0.00796231	 0.00804242
2.1	2.4	10	13	0.797471	0.0100119	 0.0100411
-2.4	-2.1	13	16	0.847485	0.00813466	 0.00803373
-2.1	-1.6	13	16	0.833228	0.00625698	 0.00654424
-1.6	-1.2	13	16	0.805512	0.00719928	 0.0072562
-1.2	-0.8	13	16	0.760229	0.00759365	 0.00766585
-0.8	-0.3	13	16	0.731617	0.0078648	 0.00783378
-0.3	-0.2	13	16	0.693534	0.0211009	 0.0186808
-0.2	0.2	13	16	0.662438	0.0108587	 0.0109515
0.2	0.3	13	16	0.673614	0.0216897	 0.0217973
0.3	0.8	13	16	0.726055	0.00758912	 0.00754759
0.8	1.2	13	16	0.739076	0.00753275	 0.00758366
1.2	1.6	13	16	0.79127	0.00702618	 0.00706591
1.6	2.1	13	16	0.831728	0.0060644	 0.00604982
2.1	2.4	13	16	0.847243	0.00834928	 0.00852214
-2.4	-2.1	16	20	0.885412	0.00543226	 0.00565506
-2.1	-1.6	16	20	0.876994	0.00450434	 0.00538463
-1.6	-1.2	16	20	0.852264	0.0042742	 0.00427228
-1.2	-0.8	16	20	0.808775	0.00480706	 0.00483431
-0.8	-0.3	16	20	0.790771	0.00433611	 0.00435098
-0.3	-0.2	16	20	0.748278	0.0129467	 0.0116587
-0.2	0.2	16	20	0.750381	0.00580155	 0.00582702
0.2	0.3	16	20	0.74763	0.0115372	 0.0116488
0.3	0.8	16	20	0.792475	0.0044565	 0.00448215
0.8	1.2	16	20	0.809906	0.00493203	 0.0049384
1.2	1.6	16	20	0.847996	0.00463457	 0.00467509
1.6	2.1	16	20	0.871649	0.00385303	 0.00388034
2.1	2.4	16	20	0.875191	0.0048958	 0.00486006
-2.4	-2.1	20	25	0.92042	0.00297086	 0.00300024
-2.1	-1.6	20	25	0.911044	0.0022392	 0.00225273
-1.6	-1.2	20	25	0.889965	0.00272773	 0.00274246
-1.2	-0.8	20	25	0.862026	0.00285654	 0.00287968
-0.8	-0.3	20	25	0.854334	0.0024555	 0.00245801
-0.3	-0.2	20	25	0.841382	0.00563507	 0.00570808
-0.2	0.2	20	25	0.834129	0.00273733	 0.0027528
0.2	0.3	20	25	0.847469	0.00578153	 0.00582786
0.3	0.8	20	25	0.848549	0.00243678	 0.00244963
0.8	1.2	20	25	0.863856	0.00284784	 0.00284979
1.2	1.6	20	25	0.888827	0.00274417	 0.00275133
1.6	2.1	20	25	0.910813	0.00223439	 0.00225604
2.1	2.4	20	25	0.912829	0.0030302	 0.00306293
-2.4	-2.1	25	30	0.946701	0.00200226	 0.00200938
-2.1	-1.6	25	30	0.937632	0.00155194	 0.00156623
-1.6	-1.2	25	30	0.920818	0.00191108	 0.0019092
-1.2	-0.8	25	30	0.904023	0.00196186	 0.00196532
-0.8	-0.3	25	30	0.894464	0.00159963	 0.00160443
-0.3	-0.2	25	30	0.887433	0.00339203	 0.00343267
-0.2	0.2	25	30	0.893524	0.00159385	 0.00159916
0.2	0.3	25	30	0.892813	0.00351769	 0.00357671
0.3	0.8	25	30	0.895508	0.00159844	 0.00160437
0.8	1.2	25	30	0.902321	0.00197308	 0.00199467
1.2	1.6	25	30	0.920089	0.00188931	 0.00189986
1.6	2.1	25	30	0.936075	0.00164448	 0.00165895
2.1	2.4	25	30	0.947426	0.00204007	 0.00206404
-2.4	-2.1	30	40	0.968794	0.000905157	 0.000909027
-2.1	-1.6	30	40	0.965498	0.000665542	 0.000674573
-1.6	-1.2	30	40	0.956634	0.000774491	 0.000780008
-1.2	-0.8	30	40	0.947156	0.000745099	 0.000752035
-0.8	-0.3	30	40	0.943617	0.000621001	 0.000622335
-0.3	-0.2	30	40	0.939929	0.00145128	 0.00146376
-0.2	0.2	30	40	0.93992	0.000690894	 0.000685752
0.2	0.3	30	40	0.94272	0.00145196	 0.00146988
0.3	0.8	30	40	0.943596	0.000622359	 0.000621933
0.8	1.2	30	40	0.947171	0.000749455	 0.000750594
1.2	1.6	30	40	0.957174	0.000764033	 0.000772201
1.6	2.1	30	40	0.965465	0.000668796	 0.000673215
2.1	2.4	30	40	0.970175	0.000874178	 0.000883287
-2.4	-2.1	40	60	0.988745	0.000435465	 0.000446666
-2.1	-1.6	40	60	0.988412	0.000287374	 0.000291277
-1.6	-1.2	40	60	0.984759	0.000328829	 0.000331148
-1.2	-0.8	40	60	0.980665	0.0003562	 0.00035867
-0.8	-0.3	40	60	0.978072	0.000329596	 0.000330737
-0.3	-0.2	40	60	0.974595	0.000800541	 0.000813074
-0.2	0.2	40	60	0.975139	0.00038688	 0.000389561
0.2	0.3	40	60	0.974957	0.000807895	 0.00082243
0.3	0.8	40	60	0.977416	0.00036237	 0.000364517
0.8	1.2	40	60	0.979866	0.00036237	 0.000364517
1.2	1.6	40	60	0.984541	0.000329944	 0.000331906
1.6	2.1	40	60	0.98876	0.000284275	 0.000287038
2.1	2.4	40	60	0.98948	0.000415024	 0.000421052
-2.4	-2.1	60	100	0.994614	0.00103184	 0.00111095
-2.1	-1.6	60	100	0.992858	0.000764395	 0.00080543
-1.6	-1.2	60	100	0.991095	0.000826628	 0.000863366
-1.2	-0.8	60	100	0.989027	0.00089295	 0.000938257
-0.8	-0.3	60	100	0.988235	0.000786799	 0.000815786
-0.3	-0.2	60	100	0.98741	0.00391127	 0.00204697
-0.2	0.2	60	100	0.986453	0.000928357	 0.000968718
0.2	0.3	60	100	0.98619	0.00206186	 0.00222623
0.3	0.8	60	100	0.987923	0.000809181	 0.0008378
0.8	1.2	60	100	0.990446	0.000857534	 0.00089866
1.2	1.6	60	100	0.993515	0.000792349	 0.000792349
1.6	2.1	60	100	0.992862	0.000765596	 0.000806243
2.1	2.4	60	100	0.99226	0.00117724	 0.00125074
-2.4	-2.1	100	200	0.999708	0.00029191	 0.00455457
-2.1	-1.6	100	200	0.989386	0.002554	 0.00284569
-1.6	-1.2	100	200	0.993163	0.00245452	 0.00274615
-1.2	-0.8	100	200	0.993555	0.00273131	 0.00308288
-0.8	-0.3	100	200	0.992948	0.00216161	 0.00243286
-0.3	-0.2	100	200	1	0.00287553	 0.00287553
-0.2	0.2	100	200	0.982746	0.00308891	 0.00334359
0.2	0.3	100	200	0.987125	0.0044825	 0.00582832
0.3	0.8	100	200	0.993198	0.00189583	 0.00215648
0.8	1.2	100	200	0.992537	0.00229521	 0.0026398
1.2	1.6	100	200	0.990283	0.00233066	 0.00267274
1.6	2.1	100	200	0.992646	0.00196768	 0.00231691
2.1	2.4	100	200	0.984682	0.00423618	 0.00518443
