etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.773807	0.00991219	 0.0147608
-2.1	-1.6	10	13	0.767831	0.00724865	 0.00733254
-1.6	-1.2	10	13	0.72238	0.00874427	 0.00882297
-1.2	-0.8	10	13	0.679715	0.0099338	 0.00998074
-0.8	-0.3	10	13	0.619403	0.0119366	 0.0119999
-0.3	-0.2	10	13	0.587505	0.0307155	 0.0310755
-0.2	0.2	10	13	0.625008	0.0167732	 0.0168786
0.2	0.3	10	13	0.597436	0.0350649	 0.0355992
0.3	0.8	10	13	0.642881	0.0113597	 0.0113614
0.8	1.2	10	13	0.664642	0.00982757	 0.00983295
1.2	1.6	10	13	0.72105	0.00904388	 0.0088252
1.6	2.1	10	13	0.766241	0.00719566	 0.00727959
2.1	2.4	10	13	0.769742	0.00976047	 0.00989455
-2.4	-2.1	13	16	0.812263	0.00735834	 0.00752121
-2.1	-1.6	13	16	0.803262	0.00561325	 0.0056828
-1.6	-1.2	13	16	0.785648	0.00622238	 0.00630302
-1.2	-0.8	13	16	0.731446	0.0069991	 0.00704814
-0.8	-0.3	13	16	0.70145	0.00755075	 0.00759543
-0.3	-0.2	13	16	0.670944	0.0205928	 0.0227697
-0.2	0.2	13	16	0.657557	0.0100189	 0.0100779
0.2	0.3	13	16	0.656663	0.0195041	 0.0196885
0.3	0.8	13	16	0.692815	0.00734188	 0.00738668
0.8	1.2	13	16	0.745786	0.00695922	 0.00701552
1.2	1.6	13	16	0.770782	0.00649578	 0.00655321
1.6	2.1	13	16	0.796229	0.00558531	 0.00565196
2.1	2.4	13	16	0.796945	0.00780299	 0.00794802
-2.4	-2.1	16	20	0.856563	0.00463555	 0.00472567
-2.1	-1.6	16	20	0.856754	0.00332405	 0.00337283
-1.6	-1.2	16	20	0.824786	0.00396635	 0.00400644
-1.2	-0.8	16	20	0.792274	0.00433492	 0.0043772
-0.8	-0.3	16	20	0.762401	0.00429597	 0.00433868
-0.3	-0.2	16	20	0.727578	0.0112091	 0.0114492
-0.2	0.2	16	20	0.725119	0.00570125	 0.00577061
0.2	0.3	16	20	0.741162	0.0124165	 0.0112141
0.3	0.8	16	20	0.768477	0.00418096	 0.00421385
0.8	1.2	16	20	0.794696	0.004278	 0.00431959
1.2	1.6	16	20	0.830433	0.00391803	 0.00395973
1.6	2.1	16	20	0.858138	0.00334754	 0.00338882
2.1	2.4	16	20	0.854154	0.00473761	 0.00483426
-2.4	-2.1	20	25	0.900841	0.0029496	 0.00310407
-2.1	-1.6	20	25	0.90019	0.00200276	 0.00202313
-1.6	-1.2	20	25	0.884156	0.00232072	 0.00234039
-1.2	-0.8	20	25	0.854563	0.00252043	 0.00254648
-0.8	-0.3	20	25	0.833703	0.00232692	 0.00233783
-0.3	-0.2	20	25	0.825876	0.00542807	 0.00551188
-0.2	0.2	20	25	0.81172	0.00281828	 0.00285694
0.2	0.3	20	25	0.817365	0.00576305	 0.00581954
0.3	0.8	20	25	0.833238	0.00238775	 0.00239414
0.8	1.2	20	25	0.853644	0.00251214	 0.00252289
1.2	1.6	20	25	0.880014	0.00239509	 0.0024174
1.6	2.1	20	25	0.898551	0.00204534	 0.00209006
2.1	2.4	20	25	0.900438	0.00284908	 0.00289719
-2.4	-2.1	25	30	0.93272	0.00194421	 0.00196874
-2.1	-1.6	25	30	0.932501	0.00139246	 0.00139857
-1.6	-1.2	25	30	0.921312	0.00160493	 0.0016196
-1.2	-0.8	25	30	0.895951	0.00176459	 0.00177656
-0.8	-0.3	25	30	0.882093	0.00150545	 0.00149745
-0.3	-0.2	25	30	0.874437	0.00341957	 0.00340746
-0.2	0.2	25	30	0.876545	0.00154314	 0.00154765
0.2	0.3	25	30	0.878012	0.00317707	 0.00319373
0.3	0.8	25	30	0.885267	0.00149428	 0.00149842
0.8	1.2	25	30	0.900441	0.00171714	 0.00172446
1.2	1.6	25	30	0.916326	0.00167357	 0.00169547
1.6	2.1	25	30	0.933346	0.00138539	 0.00139791
2.1	2.4	25	30	0.932111	0.00196797	 0.00200141
-2.4	-2.1	30	40	0.964777	0.00081219	 0.000814003
-2.1	-1.6	30	40	0.963071	0.000581997	 0.00058774
-1.6	-1.2	30	40	0.95568	0.000653362	 0.000653865
-1.2	-0.8	30	40	0.944523	0.000659054	 0.000657881
-0.8	-0.3	30	40	0.935074	0.000558721	 0.000555915
-0.3	-0.2	30	40	0.929926	0.00128578	 0.00129794
-0.2	0.2	30	40	0.928291	0.000626324	 0.000629
0.2	0.3	30	40	0.933594	0.00129677	 0.00130591
0.3	0.8	30	40	0.936854	0.000550761	 0.0005493
0.8	1.2	30	40	0.944331	0.000652139	 0.000653592
1.2	1.6	30	40	0.953199	0.000668217	 0.000673949
1.6	2.1	30	40	0.963128	0.000586224	 0.000585425
2.1	2.4	30	40	0.962428	0.00083886	 0.000842683
-2.4	-2.1	40	60	0.985937	0.000428715	 0.000435728
-2.1	-1.6	40	60	0.986347	0.000262111	 0.000267792
-1.6	-1.2	40	60	0.983084	0.000287163	 0.000289083
-1.2	-0.8	40	60	0.978117	0.000311	 0.000313148
-0.8	-0.3	40	60	0.972655	0.000296786	 0.000296457
-0.3	-0.2	40	60	0.968448	0.000733733	 0.000744407
-0.2	0.2	40	60	0.968043	0.000354266	 0.000355861
0.2	0.3	40	60	0.97043	0.000717243	 0.000726094
0.3	0.8	40	60	0.973506	0.000290695	 0.000291975
0.8	1.2	40	60	0.97795	0.000307208	 0.000309702
1.2	1.6	40	60	0.982386	0.000292382	 0.000293418
1.6	2.1	40	60	0.986103	0.000268002	 0.000266194
2.1	2.4	40	60	0.985537	0.000436353	 0.000440175
-2.4	-2.1	60	100	0.993343	0.00113193	 0.0011984
-2.1	-1.6	60	100	0.993246	0.000651524	 0.000678218
-1.6	-1.2	60	100	0.99009	0.000726582	 0.000748695
-1.2	-0.8	60	100	0.986945	0.000777374	 0.000800243
-0.8	-0.3	60	100	0.987115	0.000675551	 0.000695902
-0.3	-0.2	60	100	0.982262	0.00179667	 0.00188879
-0.2	0.2	60	100	0.984403	0.000811055	 0.000835731
0.2	0.3	60	100	0.986193	0.00659972	 0.00861704
0.3	0.8	60	100	0.98672	0.00067135	 0.000688585
0.8	1.2	60	100	0.989035	0.000725358	 0.000749454
1.2	1.6	60	100	0.989885	0.000750578	 0.000775716
1.6	2.1	60	100	0.991299	0.000680529	 0.000706254
2.1	2.4	60	100	0.99246	0.00114227	 0.00121163
-2.4	-2.1	100	200	0.993395	0.00373578	 0.00409864
-2.1	-1.6	100	200	0.990057	0.00236601	 0.00259324
-1.6	-1.2	100	200	0.995476	0.00163933	 0.00185882
-1.2	-0.8	100	200	0.991572	0.00193967	 0.00213462
-0.8	-0.3	100	200	0.989354	0.00180978	 0.00195927
-0.3	-0.2	100	200	0.98771	0.00400919	 0.00474723
-0.2	0.2	100	200	0.992854	0.00165681	 0.00183617
0.2	0.3	100	200	0.985958	0.00416563	 0.00491805
0.3	0.8	100	200	0.993463	0.00149478	 0.00163645
0.8	1.2	100	200	0.991876	0.00209115	 0.00230333
1.2	1.6	100	200	0.993163	0.00185242	 0.00205318
1.6	2.1	100	200	0.993591	0.00199891	 0.00225088
2.1	2.4	100	200	0.99355	0.00334172	 0.00405336
