etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.937307	0.00930157	 0.0082251
-2.1	-1.6	10	13	0.97417	0.00408767	 0.00428731
-1.6	-1.2	10	13	0.977642	0.00396262	 0.00421419
-1.2	-0.8	10	13	0.959667	0.00522442	 0.00544288
-0.8	-0.3	10	13	0.979971	0.00465652	 0.00502647
-0.3	-0.2	10	13	0.875005	0.0221482	 0.0238458
-0.2	0.2	10	13	0.96443	0.00829166	 0.00909465
0.2	0.3	10	13	0.887515	0.0268529	 0.0283449
0.3	0.8	10	13	0.970376	0.00558392	 0.00593718
0.8	1.2	10	13	0.964319	0.00523215	 0.00549199
1.2	1.6	10	13	0.977098	0.00414694	 0.00437822
1.6	2.1	10	13	0.961156	0.00460972	 0.00480132
2.1	2.4	10	13	0.935908	0.00716089	 0.00745068
-2.4	-2.1	13	16	0.939943	0.0055579	 0.0057679
-2.1	-1.6	13	16	0.98049	0.0027135	 0.00285594
-1.6	-1.2	13	16	0.982109	0.00272944	 0.00289464
-1.2	-0.8	13	16	0.955435	0.00366333	 0.00377967
-0.8	-0.3	13	16	0.978252	0.00287832	 0.00303776
-0.3	-0.2	13	16	0.902609	0.0120968	 0.0125904
-0.2	0.2	13	16	0.96392	0.00495162	 0.00519408
0.2	0.3	13	16	0.872614	0.0136211	 0.0142771
0.3	0.8	13	16	0.976154	0.00302924	 0.00319921
0.8	1.2	13	16	0.96129	0.00367216	 0.00379759
1.2	1.6	13	16	0.986024	0.00266809	 0.00283458
1.6	2.1	13	16	0.976263	0.00299649	 0.00314047
2.1	2.4	13	16	0.945601	0.00579642	 0.00604775
-2.4	-2.1	16	20	0.943014	0.00369415	 0.00381764
-2.1	-1.6	16	20	0.981095	0.0017135	 0.00179149
-1.6	-1.2	16	20	0.986758	0.00165763	 0.00174303
-1.2	-0.8	16	20	0.968081	0.00218925	 0.00226964
-0.8	-0.3	16	20	0.982242	0.00145679	 0.00151555
-0.3	-0.2	16	20	0.888747	0.00761558	 0.00770759
-0.2	0.2	16	20	0.975967	0.00224175	 0.00233205
0.2	0.3	16	20	0.891037	0.00829562	 0.008621
0.3	0.8	16	20	0.982577	0.00154701	 0.0016199
0.8	1.2	16	20	0.960222	0.00223275	 0.00223275
1.2	1.6	16	20	0.987525	0.00156482	 0.0016524
1.6	2.1	16	20	0.980571	0.00174933	 0.00181681
2.1	2.4	16	20	0.94957	0.003459	 0.00356635
-2.4	-2.1	20	25	0.959605	0.00213749	 0.00219292
-2.1	-1.6	20	25	0.986568	0.000931603	 0.000960701
-1.6	-1.2	20	25	0.990383	0.000895017	 0.000932373
-1.2	-0.8	20	25	0.971679	0.0014281	 0.00152306
-0.8	-0.3	20	25	0.98597	0.000826579	 0.000842032
-0.3	-0.2	20	25	0.895976	0.0044438	 0.00436959
-0.2	0.2	20	25	0.97529	0.00119422	 0.00122681
0.2	0.3	20	25	0.886687	0.00442187	 0.00449485
0.3	0.8	20	25	0.984977	0.000836403	 0.000863452
0.8	1.2	20	25	0.972273	0.00135613	 0.00140864
1.2	1.6	20	25	0.989947	0.000930612	 0.000971333
1.6	2.1	20	25	0.986093	0.000947281	 0.000977231
2.1	2.4	20	25	0.961894	0.00204587	 0.00209189
-2.4	-2.1	25	30	0.957895	0.00174047	 0.0017693
-2.1	-1.6	25	30	0.987479	0.000700112	 0.00072008
-1.6	-1.2	25	30	0.993429	0.000609172	 0.000631707
-1.2	-0.8	25	30	0.97455	0.00113188	 0.00152782
-0.8	-0.3	25	30	0.986848	0.000585193	 0.000597539
-0.3	-0.2	25	30	0.906085	0.00292274	 0.00292404
-0.2	0.2	25	30	0.977587	0.00127021	 0.000824912
0.2	0.3	25	30	0.890335	0.00297715	 0.00303852
0.3	0.8	25	30	0.986682	0.000640992	 0.00122393
0.8	1.2	25	30	0.972035	0.00104875	 0.00106321
1.2	1.6	25	30	0.991466	0.000670822	 0.000693631
1.6	2.1	25	30	0.987738	0.000696931	 0.000717577
2.1	2.4	25	30	0.962848	0.00161633	 0.00164673
-2.4	-2.1	30	40	0.960525	0.000947772	 0.000953834
-2.1	-1.6	30	40	0.987369	0.000388674	 0.00038937
-1.6	-1.2	30	40	0.992513	0.000319072	 0.00032483
-1.2	-0.8	30	40	0.973507	0.000497965	 0.000498719
-0.8	-0.3	30	40	0.988464	0.000272152	 0.000276184
-0.3	-0.2	30	40	0.90011	0.00156507	 0.00156104
-0.2	0.2	30	40	0.97911	0.000394832	 0.00039395
0.2	0.3	30	40	0.896067	0.00151009	 0.00152312
0.3	0.8	30	40	0.987582	0.000292488	 0.000297333
0.8	1.2	30	40	0.972924	0.000486433	 0.0004884
1.2	1.6	30	40	0.991845	0.000325673	 0.000334312
1.6	2.1	30	40	0.987676	0.000377217	 0.000383143
2.1	2.4	30	40	0.963874	0.00089866	 0.000897452
-2.4	-2.1	40	60	0.964267	0.000728767	 0.000735333
-2.1	-1.6	40	60	0.986522	0.000293429	 0.000293408
-1.6	-1.2	40	60	0.993535	0.000212138	 0.0002157
-1.2	-0.8	40	60	0.975475	0.000377406	 0.000379015
-0.8	-0.3	40	60	0.989679	0.000213302	 0.000215722
-0.3	-0.2	40	60	0.899617	0.00134714	 0.00135044
-0.2	0.2	40	60	0.979499	0.000330593	 0.000330152
0.2	0.3	40	60	0.893265	0.00140959	 0.00140955
0.3	0.8	40	60	0.988543	0.000226907	 0.000229464
0.8	1.2	40	60	0.975223	0.000378338	 0.0003799
1.2	1.6	40	60	0.992593	0.00022626	 0.000230144
1.6	2.1	40	60	0.986432	0.000294564	 0.000297817
2.1	2.4	40	60	0.965779	0.000705598	 0.000712428
-2.4	-2.1	60	100	0.965436	0.00259011	 0.00266712
-2.1	-1.6	60	100	0.98556	0.00103892	 0.00107664
-1.6	-1.2	60	100	0.994115	0.000704351	 0.000745156
-1.2	-0.8	60	100	0.976151	0.00123213	 0.00126334
-0.8	-0.3	60	100	0.987917	0.000706975	 0.000724131
-0.3	-0.2	60	100	0.899711	0.00466271	 0.00475288
-0.2	0.2	60	100	0.98226	0.00103519	 0.00105724
0.2	0.3	60	100	0.894132	0.00488801	 0.00479275
0.3	0.8	60	100	0.988073	0.000734903	 0.000757906
0.8	1.2	60	100	0.974447	0.00123512	 0.00125941
1.2	1.6	60	100	0.993194	0.0007286	 0.000755684
1.6	2.1	60	100	0.984443	0.0010738	 0.00111447
2.1	2.4	60	100	0.968689	0.00239406	 0.00245438
-2.4	-2.1	100	200	0.949586	0.0227659	 0.00868389
-2.1	-1.6	100	200	0.981688	0.00361314	 0.00397781
-1.6	-1.2	100	200	0.996518	0.00158966	 0.00210288
-1.2	-0.8	100	200	0.963863	0.00395195	 0.00425161
-0.8	-0.3	100	200	0.986553	0.0020818	 0.00232589
-0.3	-0.2	100	200	0.864997	0.0137133	 0.0141158
