etamin	etamax	ptmin	ptmax	eff	deff_high	deff_low
-2.4	-2.1	10	13	0.86465	0.0159367	 0.0159855
-2.1	-1.6	10	13	0.95222	0.0102716	 0.0103836
-1.6	-1.2	10	13	0.962373	0.00912813	 0.00947577
-1.2	-0.8	10	13	0.895494	0.0125522	 0.0127086
-0.8	-0.3	10	13	0.950769	0.0153801	 0.0156679
-0.3	-0.2	10	13	0.831009	0.0410497	 0.0416022
-0.2	0.2	10	13	0.933474	0.020981	 0.0213931
0.2	0.3	10	13	0.864852	0.0478658	 0.0486523
0.3	0.8	10	13	0.944986	0.0138529	 0.0140704
0.8	1.2	10	13	0.922613	0.0121664	 0.0124115
1.2	1.6	10	13	0.960854	0.0101446	 0.0103805
1.6	2.1	10	13	0.939567	0.0107937	 0.0109159
2.1	2.4	10	13	0.922292	0.0167009	 0.0168383
-2.4	-2.1	13	16	0.902183	0.0110578	 0.01114
-2.1	-1.6	13	16	0.959382	0.00611698	 0.00628328
-1.6	-1.2	13	16	0.963997	0.00591232	 0.00611439
-1.2	-0.8	13	16	0.93076	0.00717769	 0.00737252
-0.8	-0.3	13	16	0.943507	0.00762855	 0.00781879
-0.3	-0.2	13	16	0.820797	0.0277943	 0.0283352
-0.2	0.2	13	16	0.937562	0.0112118	 0.0114486
0.2	0.3	13	16	0.851342	0.023342	 0.0239204
0.3	0.8	13	16	0.938876	0.00763729	 0.00782171
0.8	1.2	13	16	0.914459	0.00749193	 0.00774343
1.2	1.6	13	16	0.969074	0.0063158	 0.00650365
1.6	2.1	13	16	0.963869	0.00626016	 0.00641346
2.1	2.4	13	16	0.891073	0.0111689	 0.0113307
-2.4	-2.1	16	20	0.912217	0.00652777	 0.00660874
-2.1	-1.6	16	20	0.963612	0.00335536	 0.00343852
-1.6	-1.2	16	20	0.968025	0.0032699	 0.00336437
-1.2	-0.8	16	20	0.930533	0.00418956	 0.00426594
-0.8	-0.3	16	20	0.954312	0.0037391	 0.00381393
-0.3	-0.2	16	20	0.842859	0.0129577	 0.0132419
-0.2	0.2	16	20	0.944144	0.0050777	 0.00519169
0.2	0.3	16	20	0.848072	0.0130692	 0.0135594
0.3	0.8	16	20	0.95334	0.00363964	 0.00371649
0.8	1.2	16	20	0.938569	0.00405753	 0.00415605
1.2	1.6	16	20	0.976737	0.00317599	 0.00327977
1.6	2.1	16	20	0.965282	0.00355523	 0.00364517
2.1	2.4	16	20	0.919729	0.0064974	 0.00658037
-2.4	-2.1	20	25	0.913175	0.00414442	 0.00420614
-2.1	-1.6	20	25	0.968125	0.00189283	 0.00193016
-1.6	-1.2	20	25	0.979643	0.00163215	 0.00168077
-1.2	-0.8	20	25	0.941678	0.00237124	 0.002411
-0.8	-0.3	20	25	0.961011	0.00181782	 0.00184748
-0.3	-0.2	20	25	0.85151	0.00654792	 0.0066236
-0.2	0.2	20	25	0.940926	0.00243736	 0.00247376
0.2	0.3	20	25	0.847011	0.0066944	 0.00679544
0.3	0.8	20	25	0.964171	0.00176293	 0.00179348
0.8	1.2	20	25	0.934732	0.00240662	 0.00244247
1.2	1.6	20	25	0.979934	0.00172747	 0.00177481
1.6	2.1	20	25	0.967854	0.00192045	 0.0019577
2.1	2.4	20	25	0.925784	0.00399555	 0.00405462
-2.4	-2.1	25	30	0.91987	0.00304737	 0.0030972
-2.1	-1.6	25	30	0.965684	0.00145051	 0.00147878
-1.6	-1.2	25	30	0.980811	0.00119056	 0.00121873
-1.2	-0.8	25	30	0.940925	0.00173867	 0.00177232
-0.8	-0.3	25	30	0.958992	0.00128963	 0.00130593
-0.3	-0.2	25	30	0.852297	0.00447107	 0.00451665
-0.2	0.2	25	30	0.940975	0.00150479	 0.00152494
0.2	0.3	25	30	0.844741	0.00448486	 0.00456268
0.3	0.8	25	30	0.964817	0.0011895	 0.00120673
0.8	1.2	25	30	0.944799	0.00170983	 0.00173475
1.2	1.6	25	30	0.980865	0.00123164	 0.00125811
1.6	2.1	25	30	0.971166	0.00138966	 0.00141379
2.1	2.4	25	30	0.927153	0.00310975	 0.00315092
-2.4	-2.1	30	40	0.915534	0.00168449	 0.00169422
-2.1	-1.6	30	40	0.965946	0.000769119	 0.000777897
-1.6	-1.2	30	40	0.981363	0.000616961	 0.000616439
-1.2	-0.8	30	40	0.937489	0.000896752	 0.000897613
-0.8	-0.3	30	40	0.959881	0.000606882	 0.000608999
-0.3	-0.2	30	40	0.854478	0.00226418	 0.00228582
-0.2	0.2	30	40	0.946556	0.000732347	 0.000735828
0.2	0.3	30	40	0.844354	0.00236759	 0.00238819
0.3	0.8	30	40	0.966057	0.000548644	 0.000552496
0.8	1.2	30	40	0.941689	0.000867629	 0.00086769
1.2	1.6	30	40	0.979585	0.00063938	 0.000646987
1.6	2.1	30	40	0.971231	0.000726681	 0.000734689
2.1	2.4	30	40	0.921457	0.00165115	 0.00165952
-2.4	-2.1	40	60	0.919052	0.00141053	 0.00141594
-2.1	-1.6	40	60	0.965414	0.000588131	 0.000591792
-1.6	-1.2	40	60	0.981507	0.000429417	 0.000433649
-1.2	-0.8	40	60	0.939344	0.000669985	 0.000673397
-0.8	-0.3	40	60	0.961888	0.000482611	 0.000485445
-0.3	-0.2	40	60	0.849681	0.00190493	 0.00191588
-0.2	0.2	40	60	0.946776	0.000620577	 0.000617545
0.2	0.3	40	60	0.847154	0.0018934	 0.00189947
0.3	0.8	40	60	0.96672	0.000446433	 0.000449705
0.8	1.2	40	60	0.944109	0.000643058	 0.000646335
